"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Marvell Technology Group Ltd","0.33","EQUITY","MRVL","Large Core","2012-12-31","3008407","-50627","Technology","49698884","-","-","-","-","-","-","3.51","38.39","6.92","8.09","7815.43","USD","2","12.98","50.16","-","-","-"
"Xerox Corp","0.33","EQUITY","XRX","Mid Value","2013-06-30","1727845","1297664","Technology","49640987","-","-","-","-","-","-","16.46","-27.36","-16.27","3.29","8189.35","USD","3","-19.9","14.92","-","-","-"
"Noble Energy Inc","0.33","EQUITY","NBL","Mid Value","2017-06-30","1750551","1750551","Energy","49540593","-","-","-","-","-","-","-15","-20.72","-26.82","-8.13","12611.25","USD","4","-31.11","-","-","-","-"
"New York Community Bancorp Inc","0.32","EQUITY","NYCB","Mid Value","2006-09-30","3714150","29737","Financial Services","48766790","-","-","-","-","-","-","-0.46","-5.57","-0.57","6.22","6298.62","USD","4","-15.84","13.56","-","-","-"
"People's United Financial Inc","0.32","EQUITY","PBCT","Mid Value","2006-09-30","2753839","18456","Financial Services","48632797","-","-","-","-","-","-","1.44","21.19","10.83","12.61","5936.8","USD","-","-6.48","18.91","-","-","-"
"Flowserve Corp","0.32","EQUITY","FLS","Mid Core","2015-03-31","1044162","594","Industrials","48480442","-","-","-","-","-","-","-14.91","-9.94","-15.89","1.49","5366.69","USD","-","-13.49","44.29","-","-","-"
"Lazard Ltd Shs A","0.32","EQUITY","LAZ","Mid Value","2016-06-30","1037497","-3970","Financial Services","48067236","-","-","-","-","-","-","6.35","41.65","0.39","15.59","5530.77","USD","3","16.52","12.88","-","-","-"
"Viacom Inc B","0.31","EQUITY","VIAB","Mid Value","2017-06-30","1408486","1408486","Consumer Cyclical","47282875","-","-","-","-","-","-","-16.57","-28.79","-25.54","-5.08","12483.16","USD","4","-12.76","8.35","-","-","-"
"Jones Lang LaSalle Inc","0.3","EQUITY","JLL","Mid Value","2011-06-30","361985","-323","Real Estate","45248125","-","-","-","-","-","-","7.69","9.56","-0.7","13.69","5664.91","USD","3","24.14","18.87","-","-","-"
"Michael Kors Holdings Ltd","0.3","EQUITY","KORS","Mid Core","2017-03-31","1233720","612450","Consumer Cyclical","44722350","-","-","-","-","-","-","-1.89","-25.91","-21.82","-2.23","5734.29","USD","-","-14.38","11.19","-","-","-"
"Nordstrom Inc","0.3","EQUITY","JWN","Mid Value","2016-03-31","933535","-41417","Consumer Cyclical","44650979","-","-","-","-","-","-","-3.99","14.98","-6.96","1.45","7772.9","USD","3","-0.79","21.98","-","-","-"
"Tiffany & Co","0.29","EQUITY","TIF","Mid Core","2016-06-30","473252","-2711","Consumer Cyclical","44424165","-","-","-","-","-","-","2.75","54.43","0.19","12.97","11592.35","USD","2","21.34","25.83","-","-","-"
